"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Project Xerofitus Landscape & Tree Services",,"301 Almeria Ave, Coral Gables, FL 33134, United States","301 Almeria Ave","Coral Gables, FL 33134","Landscaper, Landscape designer, Lawn care service, Lawn sprinkler system contractor, Tree service","America/New_York",,"+1 954-706-1556","(954) 706-1556, +1 954-706-1556","YES",86,5,"https://search.google.com/local/reviews?placeid=ChIJMeNyurS32YgR6p2SX569djk&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=4140705395319676394",25.747144,-80.26081479999999,"http://www.projectxerofitus.com/site/","projectxerofitus.com","Monday: [7 a.m.-5 p.m.], Tuesday: [7 a.m.-5 p.m.], Wednesday: [7 a.m.-5 p.m.], Thursday: [7 a.m.-5 p.m.], Friday: [7 a.m.-5 p.m.], Saturday: [7 a.m.-5 p.m.], Sunday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipOzV24-JxKJVji6D-J9MT9HY5IG3rn20AVSfs8E=w80-h100-k-no","4140705395319676394","0x88d9b7b4ba72e331:0x3976bd9e5f929dea","ChIJMeNyurS32YgR6p2SX569djk"
"APLICANO LANDSCAPING",,"1611 NW 53rd st, Miami, FL 33142, United States","1611 NW 53rd st","Miami, FL 33142","Landscaper, Garden, Gardener","America/New_York",,"+1 786-263-1145","(786) 263-1145, +1 786-263-1145","YES",12,5,"https://search.google.com/local/reviews?placeid=ChIJc7kzFEC32YgRlOOUaJdSEJE&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=10452945545375048596",25.8011314,-80.1724174,,,"Monday: [8 a.m.-5 p.m.], Tuesday: [8 a.m.-5 p.m.], Wednesday: [8 a.m.-5 p.m.], Thursday: [8 a.m.-5 p.m.], Friday: [8 a.m.-5 p.m.], Saturday: [8 a.m.-5 p.m.], Sunday: [9 a.m.-5 p.m.]","https://lh5.googleusercontent.com/p/AF1QipPrgvcLLN3492qWLbQ6smNXvwHmktOsqK4rnhW8=w80-h106-k-no","10452945545375048596","0x88d9b7401433b973:0x911052976894e394","ChIJc7kzFEC32YgRlOOUaJdSEJE"
"Santos Gonzalez Lawn Service & Landscaping",,,"","","Landscaper, Service establishment, Landscape designer, Landscape lighting designer","America/New_York",,"+1 305-300-9429","(305) 300-9429, +1 305-300-9429","YES",36,4.9,"https://search.google.com/local/reviews?placeid=ChIJZaOI2gq32YgRt_BmnmQZRUE&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=4703193305803321527",25.901836,-80.2490065,"https://horticulturepros.wixsite.com/horticulturepros","horticulturepros.wixsite.com","Monday: [6 a.m.-6 p.m.], Tuesday: [6 a.m.-6 p.m.], Wednesday: [6 a.m.-6 p.m.], Thursday: [6 a.m.-6 p.m.], Friday: [6 a.m.-6 p.m.], Saturday: [7 a.m.-1 p.m.], Sunday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipM0HiHlbnjXrNOOU8FQmDUYdiqcy0ziyOkUf6Gs=w122-h92-k-no","4703193305803321527","0x88d9b70ada88a365:0x414519649e66f0b7","ChIJZaOI2gq32YgRt_BmnmQZRUE"
"Tropical elements landscape",,,"","","Landscape designer, Service establishment","America/New_York",,"+1 786-848-8744","(786) 848-8744, +1 786-848-8744","YES",25,4.8,"https://search.google.com/local/reviews?placeid=ChIJAeDTlzqz2YgRbPdN_TEw-5I&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=10591111939953129324",25.910957999999997,-80.2228074,"http://www.tropicalelements305.com/","tropicalelements305.com","Monday: [8 a.m.-6 p.m.], Tuesday: [8 a.m.-6 p.m.], Wednesday: [8 a.m.-6 p.m.], Thursday: [8 a.m.-6 p.m.], Friday: [8 a.m.-6 p.m.], Saturday: [8 a.m.-6:30 p.m.], Sunday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipMGU6HzmX9gqDGsc1k1CkYLUvo_VUvfzERHYG9j=w121-h92-k-no","10591111939953129324","0x88d9b33a97d3e001:0x92fb3031fd4df76c","ChIJAeDTlzqz2YgRbPdN_TEw-5I"
"AS4Less Landscaping",,"80 SW 8th St Suit 2000, Miami, FL 33130, United States","80 SW 8th St Suit 2000","Miami, FL 33130","Landscaper, Landscape designer, Lawn care service, Lawn sprinkler system contractor","America/New_York",,"+1 305-316-3884","(305) 316-3884, +1 305-316-3884","YES",53,4.6,"https://search.google.com/local/reviews?placeid=ChIJK8U5X4S22YgRAyyvHK8ozI4&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=10289643981200370691",25.76575,-80.1948294,"https://www.as4lesslandscaping.com/","as4lesslandscaping.com","Monday: [7 a.m.-7 p.m.], Tuesday: [7 a.m.-7 p.m.], Wednesday: [7 a.m.-7 p.m.], Thursday: [7 a.m.-7 p.m.], Friday: [7 a.m.-6 p.m.], Saturday: [8 a.m.-4 p.m.], Sunday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipMLtwmNSV2xFV91gC2ODgvq9KEOcm0MFGhp1Rea=w122-h92-k-no","10289643981200370691","0x88d9b6845f39c52b:0x8ecc28af1caf2c03","ChIJK8U5X4S22YgRAyyvHK8ozI4"
"Those Plant Guys",,"4207 SW 75th Ave, Miami, FL 33155, United States","4207 SW 75th Ave","Miami, FL 33155","Landscape designer, Gardener, Herbalist, Interior plant service, Landscaper, Lawn care service","America/New_York",,"+1 786-247-5439","(786) 247-5439, +1 786-247-5439","YES",25,4.8,"https://search.google.com/local/reviews?placeid=ChIJkXDRYqC32YgRIaMTkGY9j_w&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=18198832129940628257",25.7309327,-80.31646669999999,"http://thoseplantguys.com/","thoseplantguys.com","Monday: [8 a.m.-6 p.m.], Tuesday: [8 a.m.-6 p.m.], Wednesday: [8 a.m.-6 p.m.], Thursday: [8 a.m.-6 p.m.], Friday: [8 a.m.-6 p.m.], Saturday: [10 a.m.-2 p.m.], Sunday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipM8enSm7W3Dr3L1z_QyHiK2bSK2f2gNqzQKFvrI=w138-h92-k-no","18198832129940628257","0x88d9b7a062d17091:0xfc8f3d669013a321","ChIJkXDRYqC32YgRIaMTkGY9j_w"
"Garden of Eden Landscaping LLC",,,"","","Landscaper, Arborist service, Service establishment, Lawn care service","America/New_York",,"+1 305-930-1932","(305) 930-1932, +1 305-930-1932","YES",44,5,"https://search.google.com/local/reviews?placeid=ChIJJwn9aArX_2sRPK8lCpExELk&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=13335212995654299452",25.782414,-80.2253934,"http://gardenofedenlandscapingfl.com/","gardenofedenlandscapingfl.com","Monday: [8 a.m.-5 p.m.], Tuesday: [8 a.m.-5 p.m.], Wednesday: [8 a.m.-5 p.m.], Thursday: [8 a.m.-5 p.m.], Friday: [8 a.m.-5 p.m.], Saturday: [Closed], Sunday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipPhQdpi1r7_oPURbRNJfgboITj2AWu_Etm2xv0R=w80-h106-k-no","13335212995654299452","0x6bffd70a68fd0927:0xb91031910a25af3c","ChIJJwn9aArX_2sRPK8lCpExELk"
"South Florida Landscape Group LLC",,,"","","Landscape designer, Service establishment, Interior plant service, Landscape architect, Landscape lighting designer, Landscaper, Landscaping supply store","America/New_York",,"+1 305-967-5794","(305) 967-5794, +1 305-967-5794","YES",14,4.4,"https://search.google.com/local/reviews?placeid=ChIJOVOYVb642YgRo6luwBZbFEU&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=4977703641427126691",25.3184941,-80.96059199999999,,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipODQ5dqbANT_XBQO3HhdL-MXrTvMaPkzoAgG5E=w163-h92-k-no","4977703641427126691","0x88d9b8be55985339:0x45145b16c06ea9a3","ChIJOVOYVb642YgRo6luwBZbFEU"
"Top Green Landscape in Doral",,,"","","Landscape designer, Service establishment, Property maintenance, Retaining wall supplier, Sod supplier, Stone supplier, Tree service","America/New_York",,"+1 754-260-4777","(754) 260-4777, +1 754-260-4777","YES",3,5,"https://search.google.com/local/reviews?placeid=ChIJxa5SDji52YgR_fhowGHqLYA&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=9236296116367587581",25.782414,-80.2597105,"http://www.topgreenflorida.com/","topgreenflorida.com","Monday: [8 a.m.-5 p.m.], Tuesday: [8 a.m.-5 p.m.], Wednesday: [8 a.m.-5 p.m.], Thursday: [8 a.m.-5 p.m.], Friday: [8 a.m.-5 p.m.], Saturday: [Closed], Sunday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipO6vAZ96ykp-a7mBN1I6pZZp6qboiaOtPh-ny3_=w123-h92-k-no","9236296116367587581","0x88d9b9380e52aec5:0x802dea61c068f8fd","ChIJxa5SDji52YgR_fhowGHqLYA"
"AR Landscape Design",,"6800 SW 40th St, Miami, FL 33155, United States","6800 SW 40th St","Miami, FL 33155","Landscaper, Landscape designer, Landscape lighting designer, Lawn sprinkler system contractor, Tree service","America/New_York",,"+1 786-410-3326","(786) 410-3326, +1 786-410-3326","YES",33,4.3,"https://search.google.com/local/reviews?placeid=ChIJ0wxVnG642YgRlfLS5UpONy8&q=landscape+business&authuser=0&hl=en&gl=CA","https://www.google.com/maps?cid=3402274127092052629",25.732558299999997,-80.3045904,"http://arlandscapedesign.com/","arlandscapedesign.com","Monday: [5 a.m.-7 p.m.], Tuesday: [5 a.m.-7 p.m.], Wednesday: [5 a.m.-7 p.m.], Thursday: [5 a.m.-7 p.m.], Friday: [5 a.m.-7 p.m.], Saturday: [5 a.m.-7 p.m.], Sunday: [5 a.m.-7 p.m.]","https://lh5.googleusercontent.com/p/AF1QipPbHvpWGAFh2YlxkFDMCEUN3h36cFJr2JzDIa73=w163-h92-k-no","3402274127092052629","0x88d9b86e9c550cd3:0x2f374e4ae5d2f295","ChIJ0wxVnG642YgRlfLS5UpONy8"
