province,date,cpi
BC,2010-01,112.2
BC,2010-02,113.2
BC,2010-03,112.6
BC,2010-04,113.2
BC,2010-05,113.6
BC,2010-06,113.4
BC,2010-07,114.6
BC,2010-08,114.5
BC,2010-09,114.5
BC,2010-10,114.8
BC,2010-11,114.9
BC,2010-12,114.6
BC,2011-01,114.8
BC,2011-02,115.2
BC,2011-03,116.1
BC,2011-04,116.3
BC,2011-05,117.1
BC,2011-06,116.5
BC,2011-07,116.6
BC,2011-08,116.9
BC,2011-09,117.3
BC,2011-10,117.4
BC,2011-11,117.5
BC,2011-12,116.5
BC,2012-01,116.8
BC,2012-02,117.2
BC,2012-03,117.9
BC,2012-04,118.2
BC,2012-05,118.6
BC,2012-06,118.2
BC,2012-07,117.9
BC,2012-08,118.1
BC,2012-09,118.1
BC,2012-10,118
BC,2012-11,117.6
BC,2012-12,117
BC,2013-01,117.1
BC,2013-02,118.3
BC,2013-03,118.5
BC,2013-04,117.2
BC,2013-05,117.9
BC,2013-06,117.6
BC,2013-07,117.9
BC,2013-08,118
BC,2013-09,118.1
BC,2013-10,117.7
BC,2013-11,117.4
BC,2013-12,117
BC,2014-01,117.1
BC,2014-02,118
BC,2014-03,118.6
BC,2014-04,119
BC,2014-05,119.7
BC,2014-06,119.8
BC,2014-07,119.6
BC,2014-08,119.6
BC,2014-09,119.5
BC,2014-10,119
BC,2014-11,118.8
BC,2014-12,118.1
BC,2015-01,118
BC,2015-02,118.9
BC,2015-03,119.8
BC,2015-04,119.6
BC,2015-05,120.6
BC,2015-06,120.7
BC,2015-07,120.8
BC,2015-08,121
BC,2015-09,121
BC,2015-10,120.6
BC,2015-11,120.8
BC,2015-12,120.4
BC,2016-01,120.7
BC,2016-02,120.8
BC,2016-03,121.8
BC,2016-04,121.8
BC,2016-05,122.7
BC,2016-06,123.1
BC,2016-07,123.3
BC,2016-08,123.4
BC,2016-09,123.2
BC,2016-10,123.1
BC,2016-11,122.7
BC,2016-12,122.7
BC,2017-01,123.5
BC,2017-02,123.6
BC,2017-03,124.2
BC,2017-04,124.4
BC,2017-05,125
BC,2017-06,125.2
BC,2017-07,125.6
BC,2017-08,125.9
BC,2017-09,125.7
BC,2017-10,125.6
BC,2017-11,125.9
BC,2017-12,125.2
BC,2018-01,126.1
BC,2018-02,127
BC,2018-03,127.4
BC,2018-04,127.7
BC,2018-05,128.4
BC,2018-06,128.6
BC,2018-07,129.7
BC,2018-08,129.6
BC,2018-09,128.9
BC,2018-10,129.4
BC,2018-11,128.9
BC,2018-12,129
BC,2019-01,129.1
BC,2019-02,129.8
BC,2019-03,130.7
BC,2019-04,131.2
BC,2019-05,131.8
BC,2019-06,131.9
BC,2019-07,132.4
BC,2019-08,132.2
BC,2019-09,132
BC,2019-10,132.2
BC,2019-11,131.8
BC,2019-12,131.7
